Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scores_archaea_odb10	Scores_bacteria_odb10	Scores_eukaryota_odb10	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
Bacillus_anthracis_NZ_CP009341.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5222171	5222171	0.000%	3
Bacillus_anthracis_NZ_CP010322.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5229224	5229224	0.000%	3
Bacillus_anthracis_GCA_000783055.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	1124399	228046	0.038%	43
Bacillus_anthracis_GCA_001278435.LargeContigs.fna	bacillales_odb10	88.4	88.2	0.2	7.6	4.0	450	C:15.4%[S:14.4%,D:1.0%],F:10.3%,M:74.3%,n:194	C:86.3%[S:85.5%,D:0.8%],F:10.5%,M:3.2%,n:124	C:4.7%[S:3.9%,D:0.8%],F:1.6%,M:93.7%,n:255,E:16.7%	271019	271019	0.000%	45
Bacillus_anthracis_NZ_CP012722.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5228658	5228658	0.000%	1
Bacillus_cereus_GCA_001541995.LargeContigs.fna	bacillales_odb10	99.6	98.7	0.9	0.2	0.2	450	C:21.1%[S:19.6%,D:1.5%],F:5.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	70267	70267	0.000%	225
Bacillus_cereus_F837_76_NC_016779.LargeContigs.fna	bacillales_odb10	97.6	96.7	0.9	1.3	1.1	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:97.5%[S:93.5%,D:4.0%],F:2.4%,M:0.1%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255	5222906	5222906	0.000%	3
Bacillus_cereus_E33L_NZ_CP009968.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.4	0.5	450	C:20.1%[S:18.0%,D:2.1%],F:6.2%,M:73.7%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:2.0%,M:93.7%,n:255,E:9.1%	5305318	5305318	0.000%	6
Bacillus_thuringiensis_serovar_pulsiensis_BGSC_4CC1_NZ_CM000757.LargeContigs.fna	bacillales_odb10	98.9	98.0	0.9	0.9	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:7.2%,M:72.7%,n:194	C:98.4%[S:94.4%,D:4.0%],F:1.6%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	6002603	71079	0.430%	1
Bacillus_anthracis_NZ_CP007618.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5236981	5236981	0.000%	2
Bacillus_anthracis_GCA_900014365.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	255979	255979	0.000%	49
Bacillus_anthracis_GCA_001273005.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	1162128	1162128	0.000%	28
Bacillus_cereus_NZ_CP018933.LargeContigs.fna	bacillales_odb10	99.6	96.9	2.7	0.2	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.2%,M:73.7%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5243376	5243376	0.000%	2
Bacillus_cereus_NVH0597_99_GCA_000181635.LargeContigs.fna	bacillales_odb10	90.5	89.8	0.7	1.8	7.7	450	C:18.5%[S:17.0%,D:1.5%],F:4.6%,M:76.9%,n:194	C:80.6%[S:76.6%,D:4.0%],F:3.2%,M:16.2%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255	213404	213404	0.000%	71
Bacillus_anthracis_str__A0488_GCA_000181835.LargeContigs.fna	bacillales_odb10	88.0	87.3	0.7	2.0	10.0	450	C:19.0%[S:17.5%,D:1.5%],F:4.6%,M:76.4%,n:194	C:72.6%[S:69.4%,D:3.2%],F:1.6%,M:25.8%,n:124	C:4.3%[S:3.9%,D:0.4%],F:1.2%,M:94.5%,n:255,E:9.1%	151690	151690	0.000%	63
_Bacillus_thuringiensis__serovar_konkukian_str__97_27_NC_005957.LargeContigs.fna	bacillales_odb10	99.6	98.7	0.9	0.2	0.2	450	C:20.1%[S:18.0%,D:2.1%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255	5237682	5237681	0.000%	2
Bacillus_anthracis_str__V770_NP_1R_NZ_CP009598.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5228687	5228687	0.000%	2
Bacillus_anthracis_str___Ames_Ancestor__NC_007530.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.4	0.5	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5227419	5227419	0.000%	3
Bacillus_anthracis_str__Sen3_GCA_000359445.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:98.4%[S:94.4%,D:4.0%],F:1.6%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	322748	322735	0.002%	50
Bacillus_cereus_Rock3_42_NZ_CM000732.LargeContigs.fna	bacillales_odb10	98.2	97.3	0.9	1.3	0.5	450	C:19.0%[S:17.5%,D:1.5%],F:6.7%,M:74.3%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255	5202904	57934	0.370%	1
Bacillus_cereus_ATCC_4342_GCA_000746865.LargeContigs.fna	bacillales_odb10	99.3	98.2	1.1	0.2	0.5	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:100.0%[S:96.0%,D:4.0%],F:0.0%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:1.2%,M:94.5%,n:255	5226183	3983253	0.032%	2
Bacillus_anthracis_GCA_001273145.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	243731	243731	0.000%	116
Bacillus_anthracis_GCA_001835485.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	455757	455757	0.000%	32
Bacillus_anthracis_str__CDC_684_NC_012581.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5230115	5230115	0.000%	3
Bacillus_anthracis_NZ_CP010852.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:2.0%,M:93.7%,n:255,E:9.1%	5200257	5200257	0.000%	3
Bacillus_anthracis_GCA_900013475.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	255979	255979	0.000%	50
Bacillus_anthracis_CP019726.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.4	0.5	450	C:19.5%[S:18.0%,D:1.5%],F:6.7%,M:73.8%,n:194	C:97.5%[S:93.5%,D:4.0%],F:2.4%,M:0.1%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5209112	5209012	0.002%	2
Bacillus_anthracis_GCA_000782995.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.4	0.5	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	596780	186652	0.022%	54
Bacillus_anthracis_GCA_001677295.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	354382	252401	0.064%	38
Bacillus_cereus_GCA_001913385.LargeContigs.fna	bacillales_odb10	99.8	98.9	0.9	0.0	0.2	450	C:19.6%[S:17.5%,D:2.1%],F:6.2%,M:74.2%,n:194	C:100.0%[S:96.0%,D:4.0%],F:0.0%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:1.2%,M:94.5%,n:255	133903	133903	0.001%	72
Bacillus_anthracis_str__Carbosap_GCA_000732465.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:2.0%,M:93.7%,n:255,E:9.1%	1771434	116661	0.338%	18
Bacillus_anthracis_GCA_000697535.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	868537	868537	0.002%	30
Bacillus_cereus_GCA_001913295.LargeContigs.fna	bacillales_odb10	99.6	98.7	0.9	0.2	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.2%,M:94.1%,n:255	293834	293832	0.000%	74
Bacillus_anthracis_GCA_000782895.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	432432	168445	0.028%	51
Bacillus_anthracis_GCA_900012555.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:2.0%,M:93.7%,n:255,E:9.1%	179227	179227	0.000%	63
Bacillus_anthracis_GCA_000783015.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	565655	88210	0.076%	46
Bacillus_anthracis_GCA_001677305.LargeContigs.fna	bacillales_odb10	98.9	98.0	0.9	0.7	0.4	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	401017	255269	0.034%	38
Bacillus_anthracis_GCA_000782905.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	919875	160271	0.043%	48
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1_NZ_CM000752.LargeContigs.fna	bacillales_odb10	99.8	98.9	0.9	0.2	0.0	450	C:20.6%[S:19.1%,D:1.5%],F:5.7%,M:73.7%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	6489024	61903	0.386%	1
Bacillus_anthracis_NZ_CP012725.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5227091	5227091	0.000%	1
Bacillus_anthracis_NZ_CP012728.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5227079	5227079	0.000%	1
Bacillus_anthracis_GCA_000782875.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	450699	165793	0.007%	75
Bacillus_cereus_ATCC_4342_NZ_CP009628.LargeContigs.fna	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:100.0%[S:96.0%,D:4.0%],F:0.0%,M:0.0%,n:124	C:4.3%[S:3.9%,D:0.4%],F:1.2%,M:94.5%,n:255	5269496	5269496	0.000%	2
Bacillus_anthracis_str__CNEVA_9066_GCA_000167235.LargeContigs.fna	bacillales_odb10	98.7	97.8	0.9	0.9	0.4	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:96.7%[S:92.7%,D:4.0%],F:2.4%,M:0.9%,n:124	C:4.3%[S:3.9%,D:0.4%],F:1.6%,M:94.1%,n:255,E:9.1%	277207	277207	0.000%	30
Bacillus_anthracis_NZ_CP019588.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5228667	5228667	0.000%	2
Bacillus_cereus_GCA_001913325.LargeContigs.fna	bacillales_odb10	99.6	98.9	0.7	0.2	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:7.2%,M:72.7%,n:194	C:99.2%[S:96.0%,D:3.2%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255	166945	152209	0.023%	71
Bacillus_anthracis_str__Sterne_NZ_CP009541.LargeContigs.fna	bacillales_odb10	98.9	98.0	0.9	0.7	0.4	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5227496	5227476	0.000%	2
Bacillus_anthracis_NZ_CP012519.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.4	0.5	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5226878	3514805	0.001%	3
Bacillus_anthracis_NZ_CP012727.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:2.0%,M:93.3%,n:255,E:8.3%	5227090	5227090	0.000%	1
Bacillus_anthracis_GCA_900014345.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	255979	255979	0.000%	49
Bacillus_anthracis_GCA_900014355.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	262937	262937	0.000%	47
Bacillus_anthracis_8903_G_NZ_CM002401.LargeContigs.fna	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5228314	894607	0.012%	3
Bacillus_anthracis_9080_G_NZ_CM002398.LargeContigs.fna	bacillales_odb10	99.1	98.4	0.7	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5232192	195848	0.095%	3
Bacillus_cereus_GCA_001543815.LargeContigs.fna	bacillales_odb10	68.5	67.8	0.7	13.3	18.2	450	C:15.4%[S:14.9%,D:0.5%],F:5.7%,M:78.9%,n:194	C:79.8%[S:76.6%,D:3.2%],F:8.1%,M:12.1%,n:124	C:3.5%[S:3.1%,D:0.4%],F:2.4%,M:94.1%,n:255,E:11.1%	2858	2858	0.000%	1437
Bacillus_anthracis_GCA_000783135.LargeContigs.fna	bacillales_odb10	99.1	98.2	0.9	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	596579	182645	0.018%	62
Bacillus_anthracis_NZ_CP009476.LargeContigs.fna	bacillales_odb10	99.1	98.4	0.7	0.7	0.2	450	C:20.1%[S:18.6%,D:1.5%],F:6.7%,M:73.2%,n:194	C:99.2%[S:95.2%,D:4.0%],F:0.8%,M:0.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5200082	5200079	0.000%	2
Bacillus_anthracis_CP008854.LargeContigs.fna	bacillales_odb10	93.7	93.3	0.4	3.6	2.7	450	C:18.5%[S:17.5%,D:1.0%],F:7.2%,M:74.3%,n:194	C:95.1%[S:91.9%,D:3.2%],F:4.8%,M:0.1%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.6%,M:93.7%,n:255,E:8.3%	5225433	5225433	0.000%	1
Bacillus_anthracis_str__A2012_AAAC01000001.LargeContigs.fna	bacillales_odb10	91.6	90.7	0.9	3.1	5.3	450	C:19.0%[S:17.5%,D:1.5%],F:5.7%,M:75.3%,n:194	C:82.2%[S:79.8%,D:2.4%],F:4.8%,M:13.0%,n:124	C:4.7%[S:4.3%,D:0.4%],F:1.2%,M:94.1%,n:255,E:8.3%	5093554	25044	0.789%	3
